,headlines,text,source,link
15014,B'desh score their highest total in ODIs in their 1st 2019 WC match,"Bangladesh recorded their highest-ever total in ODIs by scoring 330/6 against South Africa in their first 2019 World Cup match at Kennington Oval today. Bangladesh's previous highest total of 329/6 had come against Pakistan on April 17, 2015 at Dhaka. Mushfiqur Rahim and Shakib Al Hasan shared a 142-run stand for third wicket, Bangladesh's highest partnership in World Cup history.",Cricket World Cup,https://www.cricketworldcup.com/match/8196?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15015,Have to be very careful: Trump to UK over Huawei use in 5G,"US President Donald Trump in an interview with the Sunday Times urged Britain to be ""very careful"" about involving Huawei in its new 5G network. When asked about reports that Britain is planning to give Huawei a limited role, he said, ""Well, you have other alternatives and we have to be very careful from the standpoint of national security.""",Livemint,https://www.livemint.com/technology/tech-news/donald-trump-urges-uk-to-be-very-careful-over-huawei-and-5g-technology-1559447041781.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15020,J'khand panchayat weds minors as they talked on phone for long hours,"A 17-year-old boy in Jharkhand's Lohardaga district was made to marry a 13-year-old girl by the panchayat apparently because they talked to each other on phone for ""long durations"". Raj Kumar Verma, chairperson of the Child Welfare Committee, said they have taken cognisance of the matter. ""Consent is immaterial in such cases and everyone involved...could be penalised,"" said Verma.",Hindustan Times,https://www.hindustantimes.com/ranchi/panchayat-arranges-marriage-of-minors-cwc-sends-notice/story-efSzxIkkuCrNOfyIzB1STI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15021,"Wife hammers Navy man to death after years of domestic abuse, held","An Indian Navy personnel's wife was arrested on Sunday for murder after she allegedly bludgeoned her husband to death following years of domestic violence, Goa Police said. ""In the evening he had walked in drunk and had picked a quarrel. In the night when he slept, she hammered him. Since he was intoxicated, he couldn't respond,"" said police.",Hindustan Times,https://www.hindustantimes.com/india-news/wife-hammers-navy-staffer-to-death-in-goa-after-years-of-domestic-abuse-say-cops/story-mVL52dYKsck2PJ6OuE63jL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15022,Woman axed to death by husband after failing to have baby in Bihar,"A man allegedly killed his wife in Bihar on Saturday by attacking her with an axe, blaming her for the couple's childless state. The police arrested him and seized the axe. They had been married for eight years, and the couple's inability to have a child had put a great strain on their relationship, said the locals to the police.",Hindustan Times,https://www.hindustantimes.com/india-news/woman-axed-to-death-by-husband-for-failure-to-have-baby/story-m74st97jagBwKx3PT5rI9O.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15023,"Class 12 fail claims being IPS, gives speeches on cracking UPSC; held","The Special Operations Group (SOG) in Jaipur arrested 20-year-old Abhay Meena, a youth who failed Class 12th examinations and was pretending to be an IPS officer. Meena used to deliver motivational speeches on how to crack IIT and UPSC exams in the first attempt. A person suspected Meena after his police card misspelt 'branch' as 'branche' and 'capital' as 'capitol'.",Times Now,https://www.timesnownews.com/mirror-now/crime/article/jaipur-youth-lives-life-of-an-ips-officer-stays-in-hotels-and-graces-public-events-arrested/429954?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15025,Man arrested in Kerala for sexually exploiting over 50 women online,"A 25-year-old Kerala man has been arrested for sexually exploiting over 50 women he had befriended over social media by blackmailing them with their morphed obscene photos. The accused used to talk to husbands of the women posing as female on Facebook and then used to forward the chats to the women to convince them about their spouse's ""illicit relationships.""",The Quint,https://www.thequint.com/news/india/man-held-in-kerala-for-sexually-exploiting-over-50-women-online?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15026,British Airways resumes flights to Pakistan post 10-yr suspension,"The British Airways on Sunday resumed flights to Pakistan, more than 10 years after a hotel bombing led to the route being suspended. The airline stopped flying to Pakistan after a bombing at the Marriott Hotel in Islamabad in September 2008, killing more than 50 people and injuring over 250. British Airways is the only western airline to serve Pakistan.",Reuters,https://uk.reuters.com/article/us-pakistan-airlines-britishairways/british-airways-to-resume-pakistan-flights-next-week-after-a-decade-idUKKCN1SU0OG?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15027,We will improve and come back stronger: Afghanistan's Zadran,"Afghanistan's Najibullah Zadran, who was his side's top-scorer in their World Cup match against Australia on Saturday, said, ""We will improve for the next game and come back stronger."" ""We are a good side and I think we can beat any side in the world... I am confident we can cause some upsets in this tournament,"" Zadran added.",Times Now,https://www.timesnownews.com/sports/cricket/article/najibullah-zadran-vows-for-afghanistans-comeback-post-defeat-to-australia-in-their-icc-world-cup-2019-opener/430021?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15028,Federer beats Mayer to reach French Open quarter-finals,Swiss tennis star Roger Federer beat Leonardo Mayer to reach the quarter-final stage of the French Open 2019 on Sunday. Federer has not dropped a set at this edition of the French Open. This is the 12th time Federer has reached the French Open quarter-finals. Federer becomes the oldest man in 28 years to reach a Grand Slam quarter-final.,Roland Garros,https://www.rolandgarros.com/en-us/matches/SM013?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15029,Champions League win only the start: Liverpool coach Klopp,"Liverpool coach Jurgen Klopp said that the Champions League win for Liverpool is only the start. ""This is only the start for this group, it's a wonderful age group, they still have the best times in their career still ahead of them, so that's big,"" Klopp said after the Champions League win on Sunday.",Hindustan Times,https://www.hindustantimes.com/football/champions-league-only-the-start-klopp-predicts-more-good-times-ahead-for-liverpool/story-jny77PIjt6vMvDfsdopPwO.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15030,Windies can match anybody in this competition: Clive Lloyd,"Following Windies' win over Pakistan in the World Cup 2019, former West Indies captain Clive Lloyd, who led the team to two World Cup titles, said, ""This game has proven that we have some firepower and that means we can match anybody in this competition."" ""I'm sure they will upset a few of the big boys,"" Lloyd added.",Cricket Country,https://www.cricketcountry.com/news/cricket-world-cup-2019-west-indies-can-match-anybody-in-this-competition-clive-lloyd-851079?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15031,India will face England in final of the World Cup 2019: Ashwin,"Indian spinner Ravichandran Ashwin said that according to him India and hosts England will face off in the final of the World Cup 2019. ""The way Virat paces his innings and the kind of firepower that Rohit has, he is one of those batsmen who can change gears any time. Apart from that we have a balanced setup,"" Ashwin added.",Hindustan Times,https://www.hindustantimes.com/cricket/icc-world-cup-2019-r-ashwin-predicts-finalists-of-the-tournament/story-O5xyhK6Qx7C00WsupfSeaP.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15033,"Joshua registers first pro defeat, loses world titles to Ruiz","Andy Ruiz Jr registered one of the biggest upsets of heavyweight boxing to clinch British boxer Anthony Joshua's IBF, WBO and WBA world heavyweight titles by handing him his first professional defeat at the Madison Square Garden today. Joshua was supposed to originally fight Jarrell Miller but Ruiz had been roped in for this fight at six weeks' notice.",The Guardian,https://www.theguardian.com/sport/video/2019/jun/02/im-still-pinching-myself-andy-ruiz-jr-reacts-beating-anthony-joshua-video?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15034,We are bad outside home: Chhetri on Indian team,"Speaking about India's football team and new coach Igor Stimac, captain Sunil Chhetri said, ""We don't generally do well outside our country. In the last 13 years, we have done alright at home but we are bad outside home."" ""We understand what the coach wants and he understands exactly the kind of pool he has to choose from,"" Chhetri added.",Hindustan Times,https://www.hindustantimes.com/football/sunil-chhetri-hopes-india-can-build-on-better-exposure/story-blNi0dGPkOv8sdYCN5dwCP.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15035,No question of intervening: TRAI on dip in mobile user base,"TRAI Chairman R S Sharma said mobile subscriber base drop isn't a cause of worry and that ""there is no question of (TRAI) intervening"". Sharma told PTI these fluctuations are due to multiple factors like telecom operators starting monthly minimal recharge. Total wireless subscribers declined from 1,183.68 million in February end to 1,161.81 million in March end, as per TRAI.",Livemint,https://www.livemint.com/industry/telecom/-no-question-of-intervening-says-trai-chief-on-recent-dip-in-mobile-user-base-1559456232007.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15036,"Apple deletes all posts on iTunes' Facebook page, Instagram account","Apple has cleared content from its Facebook page and Instagram account for iTunes including posts, photos and videos. This comes after a Bloomberg report stated Apple plans to shut down iTunes and launch a trio of new apps - Music, TV, and Podcasts - to replace it. Reportedly, cached version of iTunes' Facebook page had content available on May 31.",Instagram,https://www.instagram.com/itunes/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15037,PM writes to Veeru Devgan's wife after his demise; Ajay thanks him,"Prime Minister Narendra Modi has written a letter to Veena Devgan, late action director Veeru Devgan's wife and actor Ajay Devgn's mother, condoling Veeru's demise. PM Modi wrote, ""May he continue to inspire risk-takers...because it is those who take risks that define the direction our world takes."" Thanking the PM, Ajay tweeted, ""My Mother &...Devgan family are deeply touched.""",Twitter,https://twitter.com/ajaydevgn/status/1135089348439707650?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15038,Didn't attend Kapil's show for 'Bharat' as I didn't want to: Sunil,"Actor-comedian Sunil Grover, who did not attend 'The Kapil Sharma Show' to promote the film 'Bharat', said, ""I did not feel like going there so I did not go."" ""It was not necessary for me to go there because if you have Salman Khan and Katrina Kaif promoting a film, you don't need any other element,"" he added.",Times Now,https://www.timesnownews.com/entertainment/news/bollywood-news/article/sunil-grover-opens-up-on-not-attending-the-kapil-sharma-show-to-promote-bharat-says-mera-mann-nahi-kiya/429946?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15039,I wasn't defending Janhvi over Katrina's remark on outfit: Sonam,"After media reports said Sonam Kapoor was defending her cousin Janhvi over Katrina Kaif's remarks that she's ""concerned over the very short shorts that she wears to the gym"", Sonam clarified she wasn't defending her. ""It's an inside joke,"" she added. Sonam had shared a picture of Janhvi with the caption, ""She also wears regular clothes and rocks it.""",Times Now,https://www.timesnownews.com/entertainment/news/bollywood-news/article/pls-don-t-create-drama-mediawallas-sonam-clarifies-she-wasnt-defending-janhvi-over-katrinas-comment/429862?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15041,Neymar shares video of chat with woman who accused him of rape,"World's most expensive footballer Neymar took to Instagram to share a seven-minute video wherein he denies the rape accusations against him and shares his WhatsApp chat with the accuser. In the chat, the woman can be seen sharing her intimate pictures. Neymar claimed he has been the victim of an extortion attempt by a lawyer claiming to represent the accuser.",Instagram,https://www.instagram.com/p/ByMOW-fgicq/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15042,US-based science publisher bars Huawei from reviewing papers,"US-headquartered science publisher IEEE restricted listed Huawei companies and their employees from certain activities not generally open to public in compliance with US government regulations. These include some publication peer review and editorial process aspects. Reportedly, the China Computer Federation said it'll suspend collaborations with IEEE Communications Society over the development.",Engadget,https://www.engadget.com/2019/06/01/ieee-bans-huawei-from-reviewing-papers/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15044,Cong social media head quits Twitter days post congratulating Sitharaman,"Congress party's social media manager and actress Divya Spandana has deleted both her Twitter and Instagram accounts, however, her Facebook account is still active. In her last tweet, she had congratulated Nirmala Sitharaman on becoming the Union Finance Minister. When ANI asked her if she has parted ways with the team quoting sources, she responded, ""Your source is wrong.""",ANI,https://www.aninews.in/news/national/general-news/divya-spandana-tweets-deleted-has-she-left-congress-social-media20190602004625/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15045,Elon Musk loses $4.9 billion as Tesla shares tumble 43% in 2019,"US-based carmaker Tesla's CEO Elon Musk has lost $4.9 billion from his Tesla stake's value as the stock tumbled 43% in 2019, the worst-ever start to a year for the company. In total, Tesla's four biggest individual shareholders lost $7.8 billion. Musk is now the 46th richest person with $19.5 billion wealth, down from 29th at year's beginning, Bloomberg said.",Livemint,https://www.livemint.com/companies/people/elon-musk-loses-4-9-billion-in-tesla-s-worst-ever-start-to-a-year-1559384139654.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15046,"Car sales slump in May; Maruti, Honda, Mahindra, Toyota see drop","Passenger vehicles sales in May continued to decline for top carmakers due to weak retail demand. Sales at Maruti Suzuki India, Mahindra & Mahindra, Honda Cars India and Toyota Kirloskar Motor India dropped up to 28% year-on-year during May. Additionally, sales of mini cars, comprising Alto and old WagonR, fell 57% y-o-y during May 2019.",Livemint,https://www.livemint.com/companies/news/car-sales-skid-again-in-may-as-consumer-demand-remains-sluggish-1559448530934.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15047,Haryana man shoots wife and 4-yr-old daughter before killing himself,"A 37-year-old man in Haryana's Jhajjar district shot dead his wife and a four-year-old daughter before killing himself at his residence on Saturday. Police said he left a suicide note in which he took responsibility for killing his wife and daughter and committing suicide. The man, identified as Dinesh Kumar, worked as a private security guard in Delhi.",Hindustan Times,https://www.hindustantimes.com/india-news/jhajjar-man-shoots-daughter-wife-before-killing-himself/story-8uQeRD8kqg70XpBUASsHuI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15048,Siblings die as wall of under-construction house collapses in Punjab,"Two siblings, aged seven and four, died after a wall of an under-construction house collapsed in Punjab's Ludhiana on Saturday. The brother and sister had taken shelter there from rain and dust-storm that hit the city in the evening. The children, who were injured in the wall collapse, were rushed to a hospital where doctors declared them dead on arrival.",Hindustan Times,https://www.hindustantimes.com/india-news/wall-of-under-construction-house-collapses-in-ludhiana-2-siblings-die/story-CtQznVIEK6q2o5krjumbzN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15049,"Folk dancer Queen Harish, 3 others die in road accident in Rajasthan","Famous folk dancer Harish Kumar and three other folk artists were killed in a road accident near Jodhpur in Rajasthan on Sunday. The mishap occurred on a highway in Jodhpur when the artists' SUV collided with a stationary truck. A Jaisalmer native, Kumar was popularly known as 'Queen Harish' and his shows included folk dance forms like Ghoomar and Kalbelia.",PTI,https://repository.inshorts.com/articles/en/PTI/bffb6ac4-e81e-43d6-8cf8-c756073fc944?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15050,Driverless train crashes after going in wrong direction; 14 injured,"Fourteen passengers were injured after a driverless five-car train in suburban Tokyo went in the wrong direction and crashed into a buffer stop. The train travelled in the wrong direction for about 25 metres, Japanese media reported. The company that was operating the train said three people were monitoring and controlling the operation at the time of the accident.",Hindustan Times,https://www.hindustantimes.com/world-news/fourteen-injured-after-japan-driverless-train-goes-wrong-way/story-b3q27Y7ecvauBGFn83zG8J.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15051,US says it is checking reports that North Korea executed envoy,US State Secretary Mike Pompeo has said the country is checking reports that a senior North Korean official involved in nuclear negotiations with the US had been executed. Reports claimed North Korea's special envoy to the US Kim Hyok-chol was executed over the failure of the recent summit between the North Korean leader Kim Jong-un and US President Donald Trump.,The Guardian,https://www.theguardian.com/world/2019/may/31/north-korea-executes-envoy-to-us-after-trump-summit-failures?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15052,SpiceJet Chairman Ajay Singh elected to IATA board,SpiceJet's Chairman and Managing Director Ajay Singh was on Sunday elected to the board of the International Air Transport Association (IATA). The development comes less than three months after the airline joined the global group. Founder and former chairman of the now grounded Jet Airways Naresh Goyal was a member on the previous board.,Livemint,https://www.livemint.com/companies/news/spicejet-chief-ajay-singh-elected-to-iata-board-1559463947019.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15053,INLD will rise again in Assembly polls: Om Prakash Chautala,"Following the general polls debacle, INLD chief Om Prakash Chautala said that with ""hard work and by reinvigorating"" itself, the party will ""rise again"" in the Assembly elections. He added, ""I'll visit every place in Haryana and remain in touch with party workers."" Chautala further said workers are the ""backbone"" of the party and will bring the ""old days back"".",Hindustan Times,https://www.hindustantimes.com/india-news/inld-will-bounce-back-chautala-tells-party-workers/story-Yqp9IbVYjksvzrith7ytCI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15054,Best night of our professional lives: Liverpool coach Klopp,"Following Liverpool's Champions League win on Saturday, coach Jurgen Klopp termed the night as ""the best night of our professional lives"". ""Without this manager this is impossible. You go through tough times in a season, but what he has done since coming in is unbelievable,"" Liverpool captain Jordan Henderson said about Klopp.",Liverpool FC,https://www.liverpoolfc.com/news/first-team/351532-jurgen-klopp-champions-league-final-reaction?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15055,Salah dances in dressing room after Champions League win,"Liverpool forward Mohamed Salah was seen dancing in the dressing room after his side won the Champions League on Saturday. Salah, who held his winners' medal between his teeth while dancing, had scored Liverpool's first goal of the match in the second minute. The video of Salah's dance was shared by Liverpool defender Dejan Lovren.",RT,https://www.rt.com/sport/460852-mo-salah-dressing-room-dance/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15056,Serena may seek grass-court wildcard ahead of Wimbledon,"Former world number one Serena Williams, who lost in the third round in the French Open 2019, said that she might seek a wildcard entry into a grass-court tournament to prepare for the Wimbledon 2019. Williams was bidding for a record-equalling 24th Grand Slam singles in Paris but the 10th seed was knocked out 6-2, 7-5 by compatriot Sofia Kenin.",Hindustan Times,https://www.hindustantimes.com/tennis/serena-williams-may-seek-grasscourt-wildcard-ahead-of-wimbledon/story-zR9cvul6Q7x8aE5YtrdRtJ.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15058,Huawei decreases its phone production after US ban: Report,"Taiwanese electronics manufacturer Foxconn has reportedly stopped several production lines for Huawei phones as the Chinese company reduced orders for new phones. The decreased production comes after Foxconn initiated a recruitment drive earlier this year due to Huawei's surging sales, the report added. In mid-May, the US blacklisted Huawei and its affiliates over alleged espionage concerns",Engadget,https://www.engadget.com/2019/06/01/huawei-scales-back-phone-production/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15059,Punjab CM seeks PM Modi's help to curb drug menace in state,"Reiterating his demand for a national drugs policy to check the drug menace, Punjab CM Captain Amarinder Singh has sought PM Narendra Modi's intervention, an official said. Reportedly, Singh asked PM Modi to formulate a national policy on enforcement, de-addiction and prevention of drug abuse. Singh also urged PM Modi to advise concerned ministries to address the issue seriously.",The Quint,https://www.thequint.com/news/hot-news/punjab-cm-seeks-pm-modi-s-help-to-curb-drug-menace?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15060,Will never be part of NDA-led Union Cabinet even in future: JD(U),"Days after Nitish Kumar-led JD(U) opted out of Union Cabinet in protest of getting one ministry, JD(U) spokesperson KC Tyagi on Sunday said that in future also the party will ""never be a part of the NDA-led Union Cabinet"". Tyagi further asserted that this is the party's ""final decision"". However, Bihar CM Kumar said that ""everything's fine"" with the BJP.",India.com,https://www.india.com/news/india/unacceptable-offer-will-never-be-part-of-nda-led-union-cabinet-even-in-future-jdu-3677880/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15061,Groupon Co-founder's healthtech startup Tempus raises $200mn,"Groupon Co-founder Eric Lefkofsky's biotechnology startup Tempus has raised $200 million at a valuation of $3.1 billion. Founded in September 2015, the Chicago-based startup enables physicians to deliver personalised cancer care for patients through its interactive analytical and machine learning platform. As per Forbes, Lefkofsky founded Tempus after his wife was diagnosed with breast cancer.",TechCrunch,https://techcrunch.com/2019/05/31/groupon-cofounder-eric-lefkofsky-just-raised-another-200-million-for-his-newest-company-tempus/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15062,84 airports to install body scanners by March 2020,"Replacing existing door frame metal detectors and hand-held scanners, the Centre has directed 84 (28 hypersensitive and 56 sensitive) airports across the country to install body scanners by March 2020. The Centre also stated the Standard Operating Procedures (SOPs) that 84 airports would have to follow while using body scanners. Body scanners detect both metallic and non-metallic items, it said.",PTI,https://repository.inshorts.com/articles/en/PTI/312c80d6-2dc6-440e-99dc-c671e5d347cb?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15063,"Telangana marching ahead, progressing as fruitful state: KCR","Addressing the public on the fifth Telangana statehood day, state CM K Chandrashekar Rao on Sunday said that it was marching ahead and progressing as a fruitful state. He added Telangana could overcome several hurdles and obstacles during the last five years. The CM further claimed that the government was successful in improving standards in education and health sectors.",The Quint,https://www.thequint.com/news/hot-news/telangana-is-marching-ahead-says-kcr?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15064,I don't take Salman's comments on Priyanka seriously: Katrina,"Actress Katrina Kaif, while speaking about her 'Bharat' co-star Salman Khan's remarks on Priyanka Chopra's exit from the film, said, ""He just says it for effect, he does not mean it...I don't take it seriously."" ""You have to take everything that Salman (Khan) says with a big bucket of salt. I think we all know that by now,"" she added.",Times Now,https://www.timesnownews.com/entertainment/news/bollywood-news/article/you-can-t-take-salman-khan-s-comments-seriously-katrina-kaif-on-her-co-star-s-statements-on-priyanka-chopra/429573?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15065,"Vivek accidentally promotes Salman's Bharat, deletes tweet later","Actor Vivek Oberoi had mistakenly promoted Salman Khan starrer 'Bharat' on Twitter by using '#Bharat' when he tweeted to congratulate PM Modi on the occasion of his swearing-in ceremony on Thursday. In the tweet, the film's Twitter emoji was also visible. After Twitter users spotted it, the actor deleted the post and tweeted again with the correction.",Hindustan Times,https://www.hindustantimes.com/bollywood/vivek-oberoi-accidentally-promotes-salman-khan-s-bharat-rectifies-tweet/story-fjvetz2pYJefavlhsge6EN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15066,She wears regular clothes too: Sonam on Janhvi after Katrina's remark,"Sonam Kapoor has shared a photo of her cousin Janhvi Kapoor and captioned the story, ""She also wears regular clothes and rocks it."" This comes after Katrina Kaif said she's ""concerned about the very, very short shorts that Jahnvi wears"". She said this on 'BFFs with Vogue' after being asked to name a celebrity who goes over-the-top with gym looks.",Hindustan Times,https://www.hindustantimes.com/bollywood/after-katrina-kaif-speaks-about-janhvi-kapoor-s-very-short-shorts-sonam-kapoor-comes-to-cousin-s-defence/story-pQXuWKcr4XvlxleC1JmC9H.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15067,Tum logon ka hisab hoga: Rangoli on clean chit to MeToo accused Bahl,"After sexual harassment accused filmmaker Vikas Bahl was given a clean chit, Kangana Ranaut's sister Rangoli Chandel tweeted, ""Tum logon ka hisab hoga, there's a world beyond this world, where a woman's cry isn't unheard."" ""Alok Nath ke baad Vikas Bahl gets clean chit, whereas girls will be shamed all their lives for raising their voices,"" her tweet further read.",Hindustan Times,https://www.hindustantimes.com/bollywood/kangana-ranaut-s-sister-rangoli-on-vikas-bahl-being-cleared-of-metoo-charges-tum-logon-ka-hisab-hoga/story-Rojb2AJp104FWbdG44S03L.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
